date,level
17-Nov-19,-211.85
16-Nov-19,-211.845
15-Nov-19,-211.85
14-Nov-19,-211.85
13-Nov-19,-211.845
12-Nov-19,-211.84
11-Nov-19,-211.84
10-Nov-19,-211.835
9-Nov-19,-211.835
8-Nov-19,-211.83
7-Nov-19,-211.83
6-Nov-19,-211.825
5-Nov-19,-211.82
4-Nov-19,-211.82
3-Nov-19,-211.82
2-Nov-19,-211.82
1-Nov-19,-211.82
31-Oct-19,-211.815
30-Oct-19,-211.815
29-Oct-19,-211.815
28-Oct-19,-211.815
27-Oct-19,-211.815
26-Oct-19,-211.81
25-Oct-19,-211.805
24-Oct-19,-211.8
23-Oct-19,-211.795
22-Oct-19,-211.795
21-Oct-19,-211.79
20-Oct-19,-211.78
19-Oct-19,-211.78
18-Oct-19,-211.78
17-Oct-19,-211.775
16-Oct-19,-211.775
15-Oct-19,-211.77
14-Oct-19,-211.765
13-Oct-19,-211.76
12-Oct-19,-211.755
11-Oct-19,-211.75
10-Oct-19,-211.75
9-Oct-19,-211.745
8-Oct-19,-211.74
7-Oct-19,-211.74
6-Oct-19,-211.74
5-Oct-19,-211.735
4-Oct-19,-211.73
3-Oct-19,-211.73
2-Oct-19,-211.725
1-Oct-19,-211.72
30-Sep-19,-211.72
29-Sep-19,-211.72
28-Sep-19,-211.715
27-Sep-19,-211.71
26-Sep-19,-211.71
25-Sep-19,-211.7
24-Sep-19,-211.7
23-Sep-19,-211.7
22-Sep-19,-211.695
21-Sep-19,-211.69
20-Sep-19,-211.685
19-Sep-19,-211.68
18-Sep-19,-211.67
17-Sep-19,-211.665
16-Sep-19,-211.66
15-Sep-19,-211.65
14-Sep-19,-211.645
13-Sep-19,-211.64
12-Sep-19,-211.64
11-Sep-19,-211.63
10-Sep-19,-211.63
9-Sep-19,-211.62
8-Sep-19,-211.615
4-Sep-19,-211.58
3-Sep-19,-211.575
2-Sep-19,-211.575
1-Sep-19,-211.56
31-Aug-19,-211.555
30-Aug-19,-211.55
29-Aug-19,-211.54
28-Aug-19,-211.54
27-Aug-19,-211.535
26-Aug-19,-211.53
25-Aug-19,-211.525
24-Aug-19,-211.52
23-Aug-19,-211.515
22-Aug-19,-211.51
21-Aug-19,-211.505
20-Aug-19,-211.5
19-Aug-19,-211.5
18-Aug-19,-211.495
17-Aug-19,-211.49
16-Aug-19,-211.485
15-Aug-19,-211.48
14-Aug-19,-211.475
13-Aug-19,-211.47
12-Aug-19,-211.465
11-Aug-19,-211.46
10-Aug-19,-211.455
9-Aug-19,-211.45
8-Aug-19,-211.445
7-Aug-19,-211.445
6-Aug-19,-211.44
5-Aug-19,-211.435
4-Aug-19,-211.43
3-Aug-19,-211.425
2-Aug-19,-211.42
1-Aug-19,-211.41
31-Jul-19,-211.41
30-Jul-19,-211.405
29-Jul-19,-211.4
28-Jul-19,-211.395
27-Jul-19,-211.39
26-Jul-19,-211.385
25-Jul-19,-211.38
24-Jul-19,-211.375
23-Jul-19,-211.37
22-Jul-19,-211.365
21-Jul-19,-211.36
20-Jul-19,-211.355
19-Jul-19,-211.35
18-Jul-19,-211.34
17-Jul-19,-211.335
16-Jul-19,-211.33
15-Jul-19,-211.325
14-Jul-19,-211.32
13-Jul-19,-211.315
12-Jul-19,-211.31
11-Jul-19,-211.31
10-Jul-19,-211.305
9-Jul-19,-211.3
8-Jul-19,-211.295
7-Jul-19,-211.29
6-Jul-19,-211.285
5-Jul-19,-211.28
4-Jul-19,-211.275
3-Jul-19,-211.27
2-Jul-19,-211.265
1-Jul-19,-211.26
30-Jun-19,-211.26
29-Jun-19,-211.255
28-Jun-19,-211.25
27-Jun-19,-211.25
26-Jun-19,-211.245
25-Jun-19,-211.245
24-Jun-19,-211.24
23-Jun-19,-211.24
22-Jun-19,-211.235
21-Jun-19,-211.235
20-Jun-19,-211.23
19-Jun-19,-211.225
18-Jun-19,-211.22
17-Jun-19,-211.22
16-Jun-19,-211.22
15-Jun-19,-211.215
14-Jun-19,-211.215
13-Jun-19,-211.21
12-Jun-19,-211.21
11-Jun-19,-211.21
10-Jun-19,-211.205
9-Jun-19,-211.2
8-Jun-19,-211.2
7-Jun-19,-211.195
6-Jun-19,-211.195
5-Jun-19,-211.195
4-Jun-19,-211.195
3-Jun-19,-211.19
2-Jun-19,-211.19
1-Jun-19,-211.185
31-May-19,-211.185
